,artist,rank,song,stay,week
396,The Sapphires,97,Who Do You Love,12,1964-01-25
397,Inez Foxx,98,Ask Me,3,1964-01-25
398,Jackie DeShannon,99,When You Walk In The Room,1,1964-01-25
399,Linda Scott,100,Who's Been Sleeping In My Bed?,1,1964-01-25
400,The Beatles,1,I Want To Hold Your Hand,15,1964-02-01
401,Lesley Gore,2,You Don't Own Me,13,1964-02-01
402,The Marketts,3,Out Of Limits,14,1964-02-01
403,The Trashmen,4,Surfin' Bird,13,1964-02-01
404,The Rip Chords,5,Hey Little Cobra,14,1964-02-01
405,The Kingsmen,6,Louie Louie,18,1964-02-01
406,Bobby Vinton,7,There! I've Said It Again,13,1964-02-01
407,Major Lance,8,"Um, Um, Um, Um, Um, Um",11,1964-02-01
408,Dionne Warwick,9,Anyone Who Had A Heart,14,1964-02-01
409,Rick Nelson,10,For You,11,1964-02-01
410,The Murmaids,11,Popsicles And Icicles,14,1964-02-01
411,Bobby Rydell,12,Forget Him,16,1964-02-01
412,Jan & Dean,13,Drag City,11,1964-02-01
413,Nino Tempo & April Stevens,14,Whispering,9,1964-02-01
414,The Impressions,15,Talking About My Baby,9,1964-02-01
415,Brenda Lee,16,As Usual,11,1964-02-01
416,The Tams,17,What Kind Of Fool (Do You Think I Am),14,1964-02-01
417,Jimmy Gilmer And The Fireballs,18,Daisy Petal Pickin',11,1964-02-01
418,The Tymes,19,Somewhere,11,1964-02-01
419,Chubby Checker,20,Hooka Tooka,14,1964-02-01
420,The Beatles,21,She Loves You,15,1964-02-01
421,Andy Williams,22,A Fool Never Learns,10,1964-02-01
422,Al (He's the King) Hirt,23,Java,16,1964-02-01
423,The Ronettes,24,"Baby, I Love You",9,1964-02-01
424,Shirley Ellis,25,The Nitty Gritty,14,1964-02-01
425,Lenny Welch,26,Since I Fell For You,16,1964-02-01
426,The Supremes,27,When The Lovelight Starts Shining Through His Eyes,11,1964-02-01
427,Cliff Richard,28,It's All In The Game,13,1964-02-01
428,Joey Powers,29,Midnight Mary,13,1964-02-01
429,The Singing Nun (Soeur Sourire),30,Dominique,13,1964-02-01
430,Martha & The Vandellas,31,Quicksand,12,1964-02-01
431,Jack Jones,32,Wives And Lovers,14,1964-02-01
432,The Cookies,33,Girls Grow Up Faster Than Boys,11,1964-02-01
433,Johnny Tillotson,34,Talk Back Trembling Lips,13,1964-02-01
434,Dale Ward,35,Letter From Sherry,11,1964-02-01
435,Henry Mancini And His Orchestra,36,Charade,11,1964-02-01
436,Steve & Eydie,37,I Can't Stop Talking About You,9,1964-02-01
437,The Rivieras,38,California Sun,10,1964-02-01
438,Ray Charles,39,That Lucky Old Sun,9,1964-02-01
439,Sammy Davis Jr.,40,The Shelter Of Your Arms,17,1964-02-01
440,Patti LaBelle And The Blue Belles,41,You'll Never Walk Alone,8,1964-02-01
441,The Baja Marimba Band,42,Comin' In The Back Door,9,1964-02-01
